lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0045614874222934,560,普通,3,3,-0.003779539535706925,-0.0035188902401781,-0.0007819478865864751,,False,cadence=monthly,1,-0.020665436722228973,0.016885897186522048
10,0.5,quarterly,-0.0134015365341781,188,孤峰,3,3,-0.020665436722228973,-0.0230867367849126,0.007263900188050874,,True,cadence=quarterly,1,-0.003779539535706925,-0.016885897186522048
10,0.75,monthly,-0.0024623941224712,560,普通,5,5,-0.0024045166724213003,-0.00239294118241132,-5.7877450049899706e-05,,False,cadence=monthly,1,-0.027966077997674654,0.025561561325253352
10,0.75,quarterly,-0.0279817302342142,188,普通,5,5,-0.027966077997674654,-0.02796294755036674,-1.565223653954631e-05,,False,cadence=quarterly,1,-0.0024045166724213003,-0.025561561325253352
10,1.0,monthly,-0.0008941103055404,300,山脊,3,3,-0.0009427255219243001,-0.0009589305940522668,4.8615216383900064e-05,,False,cadence=monthly,1,-0.035187108982959375,0.034244383461035074
10,1.0,quarterly,-0.043137237636937,100,普通,3,3,-0.035187108982959375,-0.03253706609830017,-0.007950128653977623,,False,cadence=quarterly,1,-0.0009427255219243001,-0.034244383461035074
20,0.5,monthly,-0.0060947105245372,560,普通,5,5,-0.003957550391619183,-0.0035301183650355804,-0.002137160132918017,,False,cadence=monthly,1,-0.019436934482775486,0.015479384091156304
20,0.5,quarterly,-0.0136464955200323,188,普通,5,5,-0.019436934482775486,-0.020595022275324122,0.005790438962743186,,False,cadence=quarterly,1,-0.003957550391619183,-0.015479384091156304
20,0.75,monthly,-0.0019995660735259,560,普通,8,8,-0.0028479098565584223,-0.0029539528294374876,0.0008483437830325222,,False,cadence=monthly,1,-0.02640908396230191,0.023561174105743488
20,0.75,quarterly,-0.0276319846004913,188,普通,8,8,-0.02640908396230191,-0.026256221382528238,-0.0012229006381893892,,False,cadence=quarterly,1,-0.0028479098565584223,-0.023561174105743488
20,1.0,monthly,0.0015851684138403,287,山脊,5,5,-0.0016544055996927333,-0.00230232040239934,0.0032395740135330335,,True,cadence=monthly,1,-0.03329663421881846,0.03164222861912573
20,1.0,quarterly,-0.041997483460195,105,普通,5,5,-0.03329663421881846,-0.03155646437054316,-0.00870084924137654,,False,cadence=quarterly,1,-0.0016544055996927333,-0.03164222861912573
40,0.5,monthly,-0.0050485571640388,560,普通,5,5,-0.0084320399715665,-0.00910873653307204,0.0033834828075276994,,False,cadence=monthly,1,-0.018901996296356385,0.010469956324789885
40,0.5,quarterly,-0.010853918293596,188,孤峰,5,5,-0.018901996296356385,-0.02051161189690846,0.008048078002760384,,True,cadence=quarterly,1,-0.0084320399715665,-0.010469956324789885
40,0.75,monthly,-0.0035785870428486,560,普通,8,8,-0.009332390091104023,-0.01005161547213595,0.005753803048255423,,False,cadence=monthly,1,-0.025870879403063377,0.016538489311959354
40,0.75,quarterly,-0.023105941714141,188,普通,8,8,-0.025870879403063377,-0.026216496614178676,0.002764937688922376,,False,cadence=quarterly,1,-0.009332390091104023,-0.016538489311959354
40,1.0,monthly,-0.0025769444676106,255,普通,5,5,-0.010153809173222218,-0.011669182114344541,0.007576864705611618,,False,cadence=monthly,1,-0.03275250478179875,0.022598695608576535
40,1.0,quarterly,-0.0359254276669323,111,普通,5,5,-0.03275250478179875,-0.03211792020477204,-0.0031729228851335445,,False,cadence=quarterly,1,-0.010153809173222218,-0.022598695608576535
60,0.5,monthly,-0.0119253880920269,560,普通,5,5,-0.008995246336476033,-0.00840921798536586,-0.0029301417555508674,,False,cadence=monthly,1,-0.014696756623848783,0.0057015102873727505
60,0.5,quarterly,-0.0118224721231496,188,普通,5,5,-0.014696756623848783,-0.01527161352398862,0.002874284500699183,,False,cadence=quarterly,1,-0.008995246336476033,-0.0057015102873727505
60,0.75,monthly,-0.0219454309324216,560,普通,8,8,-0.010484626185340523,-0.009052025591955387,-0.011460804747081077,,False,cadence=monthly,1,-0.019639906562747257,0.009155280377406734
60,0.75,quarterly,-0.0263511655267281,188,普通,8,8,-0.019639906562747257,-0.01880099919224965,-0.006711258963980844,,False,cadence=quarterly,1,-0.010484626185340523,-0.009155280377406734
60,1.0,monthly,-0.0324074949367669,233,普通,5,5,-0.011892382337014966,-0.00778935981706458,-0.020515112599751938,,False,cadence=monthly,1,-0.024480738821487717,0.01258835648447275
60,1.0,quarterly,-0.0415030257223048,109,普通,5,5,-0.024480738821487717,-0.0210762814413243,-0.01702228690081708,,False,cadence=quarterly,1,-0.011892382337014966,-0.01258835648447275
120,0.5,monthly,-0.0060333963899092,560,普通,3,3,-0.0113360834529922,-0.0131036458073532,0.005302687063082999,,False,cadence=monthly,1,-0.013555169933838925,0.0022190864808467256
120,0.5,quarterly,-0.0071983357190534,188,孤峰,3,3,-0.013555169933838925,-0.015674114672100767,0.006356834214785525,,True,cadence=quarterly,1,-0.0113360834529922,-0.0022190864808467256
120,0.75,monthly,-0.0054401183976111,560,普通,5,5,-0.01385959116559445,-0.015543485719191123,0.008419472767983351,,False,cadence=monthly,1,-0.017812311898342665,0.003952720732748214
120,0.75,quarterly,-0.0088487063664246,188,普通,5,5,-0.017812311898342665,-0.01960503300472628,0.008963605531918065,,False,cadence=quarterly,1,-0.01385959116559445,-0.003952720732748214
120,1.0,monthly,-0.005405718244831,191,孤峰,3,3,-0.01629969062790765,-0.019931014755599868,0.010893972383076652,,True,cadence=monthly,1,-0.02196326588696325,0.005663575259055597
120,1.0,quarterly,-0.0111501659323955,91,普通,3,3,-0.02196326588696325,-0.025567632538485832,0.010813099954567749,,False,cadence=quarterly,1,-0.01629969062790765,-0.005663575259055597
